stat.t	pvalue
AUF1 (hnRNP D0) binds and destabilizes mRNA	33.2438762076596	3.22665349382424e-204
AURKA Activation by TPX2	30.8804947501392	6.37135881421409e-192
AXIN missense mutants destabilize the destruction complex	7.96038755843252	2.35075543910272e-13
Abacavir metabolism	-2.31128714938994	0.0332270680961931
Abacavir transmembrane transport	0.185817113470191	0.854830377624616
Abacavir transport and metabolism	-4.02881862843113	0.000118985697555571
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	1.85160727540586	0.0651834277850626
Aberrant regulation of mitotic cell cycle due to RB1 defects	14.6628003330575	6.42011673908689e-45
Aberrant regulation of mitotic exit in cancer due to RB1 defects	15.1380427940586	1.19544342479742e-40
Abortive elongation of HIV-1 transcript in the absence of Tat	14.9186594041918	6.70960610807356e-41
Acetylcholine Neurotransmitter Release Cycle	6.99002388774081	2.7486826138612e-11
Acetylcholine binding and downstream events	0.164130892543981	0.869899048034849
Acetylcholine regulates insulin secretion	2.70041734207513	0.00831874268375111
Acrosome Reaction and Sperm:Oocyte Membrane Binding	1.2312794748049	0.23064966069908
Activated NOTCH1 Transmits Signal to the Nucleus	-1.28571157222469	0.198876025102523
Activated NTRK2 signals through CDK5	3.08175935784535	0.00460692443951566
Activated NTRK2 signals through FRS2 and FRS3	4.22177369881388	5.20390906566981e-05
Activated NTRK2 signals through FYN	2.04269184906422	0.0477442538714249
Activated NTRK2 signals through PI3K	-1.08220632967769	0.285641959611548
Activated NTRK2 signals through RAS	0.0688401166335946	0.945320765952488
Activated NTRK3 signals through PI3K	1.69082310779548	0.102058590314068
Activated NTRK3 signals through RAS	3.07188024519008	0.00332929943778183
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	0.125334656696533	0.901126973561165
Activated point mutants of FGFR2	-0.108970771819986	0.913342026242608
Activation of AMPK downstream of NMDARs	0.0921006852830171	0.926828210150786
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	43.6585532618247	0
Activation of ATR in response to replication stress	30.2816149033669	3.42419748078609e-151
Activation of BAD and translocation to mitochondria	3.31241884122583	0.00109079651260865
Activation of BH3-only proteins	1.86531267911234	0.0624752475817259
Activation of C3 and C5	7.72888376658929	2.33060164752297e-08
Activation of Ca-permeable Kainate Receptor	8.05861105926703	6.44372989903805e-12
Activation of G protein gated Potassium channels	0.538756036999761	0.590249032121714
Activation of GABAB receptors	-2.71339834760985	0.00673734786921063
Activation of HOX genes during differentiation	30.2408437948613	1.9895259620381e-178
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	3.6392931200774	0.000328395826036735
Activation of Matrix Metalloproteinases	-1.64802111763171	0.0996775935894591
Activation of NF-kappaB in B cells	35.3562138011446	2.00015701245972e-240
Activation of NIMA Kinases NEK9, NEK6, NEK7	1.16173058099914	0.253230775987598
Activation of NMDA receptors and postsynaptic events	17.9327983166651	6.39583844168137e-70
Activation of NOXA and translocation to mitochondria	2.99532556388585	0.00803216282597618
Activation of PPARGC1A (PGC-1alpha) by phosphorylation	0.104935215650062	0.916667686828133
Activation of PUMA and translocation to mitochondria	2.11831830053194	0.0383269023893341
Activation of RAC1	-1.10331548543597	0.271731340659475
Activation of RAC1 downstream of NMDARs	4.06177586582201	0.000362498925684996
Activation of RAS in B cells	1.93493752542067	0.0691236069419687
Activation of SMO	4.19193538722816	3.71125937097107e-05
Activation of TRKA receptors	0.471663201452225	0.64091303499293
Activation of anterior HOX genes in hindbrain development during early embryogenesis	30.537883795259	5.94513208453674e-182
Activation of caspases through apoptosome-mediated cleavage	2.74381881645584	0.0106824150102349
Activation of gene expression by SREBF (SREBP)	15.829946474633	7.2330374392018e-53
Activation of kainate receptors upon glutamate binding	4.40290269672703	1.23123055544818e-05
Activation of the AP-1 family of transcription factors	3.18389832283668	0.00207661715768436
Activation of the TFAP2 (AP-2) family of transcription factors	3.24466719522794	0.00157534009811696
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	71.040789285389	0
Activation of the phototransduction cascade	-2.72061865583096	0.00855978991124054
Activation of the pre-replicative complex	26.218279268575	2.71198854227502e-116
Acyl chain remodeling of CL	1.9344841228808	0.0646954495322606
Acyl chain remodeling of DAG and TAG	-2.37795997386416	0.0215465151114349
Acyl chain remodelling of PC	-3.73732035670571	0.000203966948575384
Acyl chain remodelling of PE	-1.00252074649165	0.31656131500893
Acyl chain remodelling of PG	-4.01899708525706	7.52321989879506e-05
Acyl chain remodelling of PI	-2.69479774495607	0.00757643498257544
Acyl chain remodelling of PS	2.82413773390245	0.00496998069090326
Adaptive Immune System	49.9242348246342	0
Adenylate cyclase activating pathway	0.297271069637004	0.767089999340779
Adenylate cyclase inhibitory pathway	1.7599257391949	0.0803048145523644
Adherens junctions interactions	-2.18487286163606	0.0291854362594523
Adrenaline,noradrenaline inhibits insulin secretion	2.54073395106239	0.0112899146807993
Adrenoceptors	1.41713267120802	0.161167934311104
Advanced glycosylation endproduct receptor signaling	2.02804331344142	0.0442843382209097
Aflatoxin activation and detoxification	1.33878204382717	0.181489671416478
Aggrephagy	5.15977077074263	3.46104263227681e-07
Alpha-defensins	-1.2578004721108	0.213977253509778
Alpha-oxidation of phytanate	1.47261145829141	0.152461947051323
Alpha-protein kinase 1 signaling pathway	5.22990865562846	8.45244933940072e-07
Amine ligand-binding receptors	4.43389320076162	1.0052909903143e-05
Amino Acid conjugation	0.149800063582619	0.881636698717283
Amino acid transport across the plasma membrane	-6.37503225431428	2.79106457248469e-10
Amino acids regulate mTORC1	16.8463680827476	8.78321935223921e-61
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	43.1711396713167	0
Amplification of signal from the kinetochores	47.368945364506	0
Amyloid fiber formation	-8.96672173522515	5.64644033341369e-19
Anchoring fibril formation	1.60183156335434	0.117312458572184
Anchoring of the basal body to the plasma membrane	45.1841425958159	0
Androgen biosynthesis	-1.92752578462796	0.0566914837462934
Anti-inflammatory response favouring Leishmania parasite infection	4.90160911109246	9.54395234352276e-07
Antigen Presentation: Folding, assembly and peptide loading of class I MHC	17.2776619482087	1.62147356997792e-54
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	55.1616746170519	0
Antigen processing-Cross presentation	30.5542455199927	3.4171807726881e-196
Antigen processing: Ubiquitination & Proteasome degradation	91.6245888542364	0
Antimicrobial peptides	-8.58169683127413	1.54803403130097e-17
Antiviral mechanism by IFN-stimulated genes	40.8188229263696	9.88131291682493e-324
Apoptosis	40.0506111818482	0
Apoptosis induced DNA fragmentation	6.51638472900587	2.97382897775799e-08
Apoptotic cleavage of cell adhesion  proteins	1.01725640452339	0.31155306973769
Apoptotic cleavage of cellular proteins	5.07073838737665	4.53031172989148e-07
Apoptotic execution phase	8.96573568688635	7.00626663813258e-19
Apoptotic factor-mediated response	4.89559576011633	1.51559670343392e-06
Aquaporin-mediated transport	-5.72734464245784	1.14554706737644e-08
Arachidonate production from DAG	4.51647567921109	0.000315815882831203
Arachidonic acid metabolism	-7.15572699992001	1.03520622076095e-12
Aryl hydrocarbon receptor signalling	2.02396694409527	0.0496884779214383
Asparagine N-linked glycosylation	74.2978843670985	0
Aspartate and asparagine metabolism	-0.524292385824045	0.601007662890911
Assembly Of The HIV Virion	4.74743566645689	3.75279608332632e-06
Assembly and cell surface presentation of NMDA receptors	13.9653645018427	1.4901539285269e-38
Assembly of active LPL and LIPC lipase complexes	-0.682903732744237	0.49514100782826
Assembly of collagen fibrils and other multimeric structures	12.7279415564872	5.238463396878e-36
Assembly of the ORC complex at the origin of replication	9.55441369110722	4.39983986089701e-13
Assembly of the pre-replicative complex	47.5445627246186	0
Association of TriC/CCT with target proteins during biosynthesis	19.2563239704359	8.3467744971697e-74
Asymmetric localization of PCP proteins	31.8278382209349	1.71704221237211e-196
Attachment of GPI anchor to uPAR	1.72135377260537	0.0929740281169068
Attenuation phase	5.75253077383577	1.45291620312564e-08
Autodegradation of Cdh1 by Cdh1:APC/C	44.0785931695774	0
Autodegradation of the E3 ubiquitin ligase COP1	29.585154912543	5.05106236179394e-166
Autophagy	40.359124918398	0
Axon guidance	39.1031586887109	0
Axonal growth inhibition (RHOA activation)	-0.185641055164185	0.853497125431143
B-WICH complex positively regulates rRNA expression	20.5902183841312	8.89548358494715e-72
BBSome-mediated cargo-targeting to cilium	13.7122915808721	1.54084307067893e-36
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	0.744615391347282	0.459072507552806
BMAL1:CLOCK,NPAS2 activates circadian gene expression	3.05643766604167	0.00232523558228171
Base Excision Repair	44.0631785385871	2.26663088994689e-305
Base-Excision Repair, AP Site Formation	12.1725090924623	1.44611057432466e-26
Basigin interactions	-4.29445107239958	2.0536339839637e-05
Beta defensins	-0.788675508239997	0.434098992168351
Beta oxidation of butanoyl-CoA to acetyl-CoA	2.83769354379599	0.0131300642896326
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	7.40411525887568	1.34652166227167e-07
Beta oxidation of hexanoyl-CoA to butanoyl-CoA	9.38445032046238	1.00715965766979e-07
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	2.20193776240812	0.0440143836834592
Beta oxidation of octanoyl-CoA to hexanoyl-CoA	6.06495971517217	8.66899170859349e-05
Beta-catenin independent WNT signaling	16.1491401916028	2.65794080780308e-58
Beta-catenin phosphorylation cascade	4.97755076034895	1.16360100236658e-06
Beta-oxidation of pristanoyl-CoA	3.02655559271975	0.00346356754286441
Beta-oxidation of very long chain fatty acids	3.67902806967865	0.000389802160810269
Bicarbonate transporters	-2.42335518052914	0.0174728576006763
Bile acid and bile salt metabolism	-6.70854572619627	2.55891566327541e-11
Binding and Uptake of Ligands by Scavenger Receptors	44.0385756289063	0
Binding of TCF/LEF:CTNNB1 to target gene promoters	2.04398609433326	0.0470012091937636
Biological oxidations	-6.56670306909864	5.19934729988622e-11
Biosynthesis of DHA-derived SPMs	-1.93935963768967	0.0535735107207709
Biosynthesis of E-series 18(S)-resolvins	0.924040792740805	0.368659641600666
Biosynthesis of EPA-derived SPMs	-2.22185086136889	0.0349473173202199
Biosynthesis of maresin-like SPMs	2.4915497926481	0.0195309933388822
Biosynthesis of maresins	2.12094580332784	0.0388097022874774
Biosynthesis of specialized proresolving mediators (SPMs)	-0.922621327453089	0.356908179327334
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	19.7654555099556	4.02455763748114e-84
Biotin transport and metabolism	7.4012057528475	6.65245993587319e-11
Blood group systems biosynthesis	-2.11091684055204	0.0353746429155478
Branched-chain amino acid catabolism	8.13596649484009	5.11709883348e-15
Budding and maturation of HIV virion	10.3354020051196	1.16843233399445e-23
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	12.8957061776447	1.1405344894171e-29
Butyrophilin (BTN) family interactions	2.8587384027289	0.00504583300650335
C-type lectin receptors (CLRs)	24.8270089314345	6.37240250996924e-134
CASP8 activity is inhibited	9.48801816879343	1.51344246249122e-16
CD163 mediating an anti-inflammatory response	5.70020641751132	2.67020417275242e-07
CD209 (DC-SIGN) signaling	1.30811750119206	0.191598389287132
CD22 mediated BCR regulation	125.482107578564	0
CD28 co-stimulation	3.66033134834249	0.000264397482930154
CD28 dependent PI3K/Akt signaling	5.40329752843134	1.11454170622626e-07
CD28 dependent Vav1 pathway	1.3431075467277	0.181634794370496
CDC42 GTPase cycle	18.9921909899303	7.85169203276427e-80
CDC6 association with the ORC:origin complex	5.79666840947255	7.01439781984291e-08
CDK-mediated phosphorylation and removal of Cdc6	46.1973069194062	0
CDT1 association with the CDC6:ORC:origin complex	32.2655690052735	4.00744245537848e-199
CHL1 interactions	-0.530938631225785	0.597217933123215
CLEC7A (Dectin-1) induces NFAT activation	2.52871420088704	0.0134505063743606
CLEC7A (Dectin-1) signaling	36.4501372279485	1.37256388799343e-272
CLEC7A/inflammasome pathway	3.78419503300386	0.00074717486419387
COPI-dependent Golgi-to-ER retrograde traffic	17.8882789380146	6.43990041150011e-70
COPI-independent Golgi-to-ER retrograde traffic	13.6454041884592	2.48441733361808e-39
COPI-mediated anterograde transport	21.4916317108319	4.52111323594219e-99
COPII-mediated vesicle transport	23.344514484773	8.37157558358137e-114
CREB phosphorylation	-0.11608310423088	0.908203274291901
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	4.85129132694027	1.50977782765275e-06
CREB1 phosphorylation through the activation of Adenylate Cyclase	0.405643881604872	0.685787330245811
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde	3.33542228258132	0.00156325339564815
CREB3 factors activate genes	-1.42623325421532	0.158442737235605
CRMPs in Sema3A signaling	1.77606805417386	0.0771950911339267
CS/DS degradation	0.683193809605682	0.49543155562567
CTLA4 inhibitory signaling	3.59631691814412	0.000361347183108338
CYP2E1 reactions	2.77047643159298	0.00669766517663525
Ca-dependent events	1.1112408034125	0.266673788921038
Ca2+ activated K+ channels	0.327450987653156	0.744447990016382
Ca2+ pathway	5.10406209448693	3.49931863408891e-07
CaM pathway	2.38561101147527	0.0172149994957372
CaMK IV-mediated phosphorylation of CREB	3.88645382860808	0.000219522446951827
Calcineurin activates NFAT	1.97087684006028	0.0527631650629085
Calcitonin-like ligand receptors	-2.03789399539501	0.0451417304708453
Calmodulin induced events	2.46772317653577	0.0137405065997236
Calnexin/calreticulin cycle	14.0605844763586	3.41961848494592e-39
Cap-dependent Translation Initiation	136.767471845597	0
Carboxyterminal post-translational modifications of tubulin	4.61104459354891	4.30967383127661e-06
Cardiac conduction	4.21536389707337	2.50993234714741e-05
Cargo concentration in the ER	6.64350768888182	5.03761217259356e-11
Cargo recognition for clathrin-mediated endocytosis	6.67769852891325	2.54846068565793e-11
Cargo trafficking to the periciliary membrane	25.3857222876277	3.45870521773938e-126
Carnitine metabolism	0.714818432743104	0.476004383797984
Caspase activation via Death Receptors in the presence of ligand	10.0671909563803	2.22906240766566e-20
Caspase activation via Dependence Receptors in the absence of ligand	0.804174721700367	0.423641586794827
Caspase activation via extrinsic apoptotic signalling pathway	4.64091509593811	4.1990524789339e-06
Caspase-mediated cleavage of cytoskeletal proteins	1.35791955132273	0.177579275756057
Cation-coupled Chloride cotransporters	0.413673943955552	0.681477846238812
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	45.4957300072465	0
Cell Cycle	261.108175586367	0
Cell Cycle Checkpoints	126.095610572395	0
Cell Cycle, Mitotic	214.012562619128	0
Cell death signalling via NRAGE, NRIF and NADE	6.66155976886343	2.96708232545167e-11
Cell junction organization	2.99029406887836	0.00279724650231941
Cell recruitment (pro-inflammatory response)	5.95180236453803	4.53326059396829e-09
Cell surface interactions at the vascular wall	29.7820804650454	5.50287498569737e-192
Cell-Cell communication	-3.22179897732488	0.00127690012902182
Cell-cell junction organization	7.75380194428374	1.16535455228086e-14
Cell-extracellular matrix interactions	11.5790367913266	9.02618499670326e-25
Cellular Senescence	35.5712842289711	4.73021596293752e-267
Cellular hexose transport	-1.9729707918335	0.0491674202660691
Cellular response to chemical stress	23.9089423050752	6.75167604820413e-125
Cellular response to heat stress	33.8396983805304	1.42640169306019e-236
Cellular response to hypoxia	32.8578790344401	3.50079860210682e-216
Cellular response to starvation	82.7489381518548	0
Cellular responses to stimuli	171.479994556819	0
Cellular responses to stress	170.928508833343	0
Centrosome maturation	40.9950438270314	0
ChREBP activates metabolic gene expression	0.954859559696087	0.343923844649003
Chaperone Mediated Autophagy	-0.168138546838138	0.866555825093493
Chaperonin-mediated protein folding	4.44125668435581	9.06519390320481e-06
Chemokine receptors bind chemokines	9.38117460689355	1.32775717233722e-20
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	2.30028761083153	0.0230861441573515
Cholesterol biosynthesis	16.903990671861	2.3196842938012e-52
Choline catabolism	2.44140051779708	0.0212108928064224
Chondroitin sulfate biosynthesis	-0.222378608810245	0.824139984258253
Chondroitin sulfate/dermatan sulfate metabolism	7.3704013544421	2.34602010042634e-13
Chromatin modifying enzymes	121.131924406845	0
Chromatin organization	122.088714413717	0
Chromosome Maintenance	60.8717913614876	0
Chylomicron assembly	-0.493859930420666	0.622653756451241
Chylomicron clearance	-3.46123160012998	0.0031751581851008
Chylomicron remodeling	0.659572368757622	0.511296812475149
Cilium Assembly	104.685902464087	0
Circadian Clock	8.82547189312722	1.50614289773592e-18
Citric acid cycle (TCA cycle)	19.3286916381355	1.01399487792816e-59
Class A/1 (Rhodopsin-like receptors)	-29.4231169075391	2.66713273343121e-189
Class B/2 (Secretin family receptors)	-9.34059305341659	1.21928973273732e-20
Class C/3 (Metabotropic glutamate/pheromone receptors)	9.69916153606984	1.95176677954517e-19
Class I MHC mediated antigen processing & presentation	85.4735578416325	0
Class I peroxisomal membrane protein import	12.2953388703628	2.96005992521375e-29
Classical antibody-mediated complement activation	110.062218617336	0
Clathrin-mediated endocytosis	13.9276665881705	6.89354576070208e-44
Cleavage of the damaged purine	7.56560970538455	1.9082287351566e-10
Cleavage of the damaged pyrimidine	10.8894037592827	1.09191436424331e-21
Cobalamin (Cbl, vitamin B12) transport and metabolism	-0.982686695917943	0.326459572249549
Coenzyme A biosynthesis	4.2660300002368	9.33013552189516e-05
Cohesin Loading onto Chromatin	16.7112402236017	3.35840190739474e-26
Collagen biosynthesis and modifying enzymes	13.1507906059417	1.30227470424057e-38
Collagen chain trimerization	5.91309973387092	4.11690784340797e-09
Collagen degradation	3.68735038058411	0.000235640539084436
Collagen formation	18.4456368762483	3.37433394040327e-74
Common Pathway of Fibrin Clot Formation	-3.19586036492966	0.00150123730657685
Competing endogenous RNAs (ceRNAs) regulate PTEN translation	9.56232269048247	1.90555700177318e-16
Complement cascade	59.4214986626739	0
Complex I biogenesis	57.3217886727615	0
Condensation of Prometaphase Chromosomes	11.0907672915189	6.66588419922177e-19
Condensation of Prophase Chromosomes	19.3686702663804	4.63494762284026e-40
Conjugation of benzoate with glycine	-1.70547402056503	0.106256147935075
Conjugation of carboxylic acids	-0.0536414596658854	0.957501785954899
Conjugation of salicylate with glycine	-2.00508656417003	0.0584852608742606
Constitutive Signaling by AKT1 E17K in Cancer	5.66567335881093	2.23664717042926e-08
Constitutive Signaling by Aberrant PI3K in Cancer	0.602897891728089	0.546601716620331
Constitutive Signaling by EGFRvIII	3.63439356806507	0.000353083475400524
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	2.85000737527502	0.00464319555558657
Constitutive Signaling by NOTCH1 HD Domain Mutants	1.90051319272016	0.0588309422550003
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	16.4252924263827	2.43943605399991e-58
Constitutive Signaling by NOTCH1 PEST Domain Mutants	8.27755492263524	1.8031900968566e-16
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	5.82686262948112	1.47507532735652e-06
Constitutive Signaling by Overexpressed ERBB2	2.11112747952377	0.0371675640739801
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	11.3960831354859	4.90650129526065e-26
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	6.26218403589577	5.09409710153629e-10
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	5.78724277270017	9.51334309805256e-09
Costimulation by the CD28 family	12.9024354369333	2.16938166183791e-37
Creatine metabolism	3.17533958423902	0.00206831030137243
Creation of C4 and C2 activators	79.8315589723884	0
Cristae formation	8.17752875993295	1.03489771782862e-12
Cross-presentation of particulate exogenous antigens (phagosomes)	3.61726557213368	0.000703216696835127
Cross-presentation of soluble exogenous antigens (endosomes)	28.7279134414723	1.11923929864014e-155
Crosslinking of collagen fibrils	3.2254034956093	0.00205611336387391
Cyclin A/B1/B2 associated events during G2/M transition	9.79067946773182	4.58543056141546e-21
Cyclin A:Cdk2-associated events at S phase entry	43.223791940793	0
Cyclin D associated events in G1	12.0468742527645	2.16709145657151e-32
Cyclin E associated events during G1/S transition	41.990044293975	0
Cytochrome P450 - arranged by substrate type	-3.10735808470715	0.00190084636115227
Cytochrome c-mediated apoptotic response	2.20109965128209	0.0292800645207318
Cytokine Signaling in Immune system	86.6852979044394	0
Cytoprotection by HMOX1	35.0776865577161	1.79236762120221e-258
Cytosolic iron-sulfur cluster assembly	6.74851525384421	4.40301148589361e-10
Cytosolic sensors of pathogen-associated DNA	21.3892400094975	8.36500528976318e-96
Cytosolic sulfonation of small molecules	1.02795061200248	0.30447549725374
Cytosolic tRNA aminoacylation	12.2716320858326	2.82528131637395e-11
DAG and IP3 signaling	2.23415310374313	0.0256162033217194
DAP12 interactions	7.82086023537278	9.91903933018051e-15
DAP12 signaling	8.7059752196213	2.02532172777523e-17
DARPP-32 events	6.41399617944823	3.08032995236463e-10
DCC mediated attractive signaling	3.06369069009309	0.00253522425723051
DDX58/IFIH1-mediated induction of interferon-alpha/beta	26.2750357235235	1.8542951560953e-142
DEx/H-box helicases activate type I IFN and inflammatory cytokines production	3.52454468522102	0.0012103208294299
DNA Damage Bypass	25.0629177735531	2.30941206261286e-122
DNA Damage Recognition in GG-NER	27.9446866173078	1.51737025806693e-136
DNA Damage Reversal	5.57094006667343	9.62214603404818e-07
DNA Damage/Telomere Stress Induced Senescence	14.5897642761319	4.57009359832247e-42
DNA Double Strand Break Response	21.0435745489927	1.07319808511712e-89
DNA Double-Strand Break Repair	83.6271000956354	0
DNA Repair	175.842868157997	0
DNA Replication	81.2019848620571	0
DNA Replication Pre-Initiation	63.9068908323743	0
DNA methylation	2.92367293145021	0.016208152397601
DNA replication initiation	7.010793322265	5.6318684647899e-09
DNA strand elongation	26.0978693367937	8.73104560685441e-113
DSCAM interactions	0.568383725964899	0.571098037134989
Deactivation of the beta-catenin transactivating complex	6.60058063096882	5.44093031353874e-11
Deadenylation of mRNA	20.3426457001252	3.24956072417819e-69
Deadenylation-dependent mRNA decay	44.7185846741231	0
Death Receptor Signalling	22.7701177060198	2.50451352019707e-113
Dectin-1 mediated noncanonical NF-kB signaling	37.6419135341249	6.87776683821299e-263
Dectin-2 family	1.86705441737047	0.0622861053714506
Defective B3GALT6 causes EDSP2 and SEMDJL1	4.09100241168919	5.32534532665944e-05
Defective B3GALTL causes PpS	15.5814289961827	7.69467150127388e-50
Defective B3GAT3 causes JDSSDHD	2.55647921107838	0.0109895768969454
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)	6.07344835243238	5.77445497924484e-07
Defective B4GALT7 causes EDS, progeroid type	-0.0839190006261188	0.933168632318018
Defective C1GALT1C1 causes TNPS	-2.19646434446893	0.0287112420249795
Defective CFTR causes cystic fibrosis	34.997684658738	9.47200458889256e-230
Defective CHST14 causes EDS, musculocontractural type	0.339337393608097	0.736586582660842
Defective CHST3 causes SEDCJD	1.27478062490781	0.209288385593484
Defective CHST6 causes MCDC1	4.09735011311963	0.000276812951478829
Defective CHSY1 causes TPBS	1.02517748546242	0.311097318719057
Defective CSF2RA causes SMDP4	3.20979993668262	0.002514798388397
Defective CSF2RB causes SMDP5	2.05417080946518	0.0463963984352028
Defective EXT1 causes exostoses 1, TRPS2 and CHDS	1.87146377854255	0.0631017218978119
Defective EXT2 causes exostoses 2	3.56542378775	0.000466465410224265
Defective F9 activation	-0.014603846268695	0.988475221463757
Defective GALNT12 causes CRCS1	6.41481852910311	5.22536489346453e-10
Defective GALNT3 causes HFTC	5.26925303595521	2.53024153788679e-07
Defective HDR through Homologous Recombination (HRR) due to BRCA1 loss-of-function	20.2698541006653	3.82188172951936e-68
Defective HDR through Homologous Recombination (HRR) due to PALB2 loss of function	18.2319932597765	3.48769935725651e-58
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	19.2779843257359	1.69867167915192e-63
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	16.5485784507217	5.68426960850031e-50
Defective HLCS causes multiple carboxylase deficiency	4.60724590344936	7.08673391250117e-05
Defective Intrinsic Pathway for Apoptosis	2.59264132693758	0.00975958546583974
Defective LFNG causes SCDO3	2.00631794359478	0.063828298773309
Defective RIPK1-mediated regulated necrosis	4.07748522932381	0.000768915493753704
Defective ST3GAL3 causes MCT12 and EIEE15	6.05836049629204	1.15804201694027e-06
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	23.4205765906756	1.06749693463857e-94
Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	3.61552163914143	0.000359892988188572
Defective factor IX causes hemophilia B	-2.37934144301573	0.0205253426925152
Defective factor VIII causes hemophilia A	0.0934707324307646	0.926016992427416
Defective pyroptosis	17.6790075429924	3.33635977954154e-32
Defects in biotin (Btn) metabolism	5.05837188585746	1.11989572251224e-05
Defects in cobalamin (B12) metabolism	6.27999087877828	3.74380129317785e-09
Defects in vitamin and cofactor metabolism	10.9953479256306	7.10805044141616e-25
Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)	-5.3028609235789	2.91191018099537e-07
Defensins	-3.04141767224343	0.00264155751420439
Degradation of AXIN	39.0033182248816	4.0010247124821e-268
Degradation of DVL	34.5819981785291	4.27962730574523e-221
Degradation of GLI1 by the proteasome	30.3970610467188	1.0438178032017e-179
Degradation of GLI2 by the proteasome	35.6838212612278	6.73853047257853e-237
Degradation of beta-catenin by the destruction complex	35.9996625596482	1.1392190457312e-259
Degradation of cysteine and homocysteine	-1.08161673626797	0.280873094413372
Degradation of the extracellular matrix	-5.03633774555264	4.82022063241647e-07
Depolymerisation of the Nuclear Lamina	2.83027239616383	0.00514268897308525
Deposition of new CENPA-containing nucleosomes at the centromere	30.6120602217842	4.7246853383722e-127
Depurination	6.96480500117042	2.69452227858535e-09
Depyrimidination	12.9170672276861	6.11712157882927e-27
